distance,adult_card_fare_per_ride,adult_cash_fare_per_ride,senior_citizen_card_fare_per_ride,senior_citizen_cash_fare_per_ride,student_card_fare_per_ride,student_cash_fare_per_ride,workfare_transport_concession_card_fare_per_ride,workfare_transport_concession_cash_fare_per_ride,persons_with_disabilities_card_fare_per_ride,persons_with_disabilities_cash_fare_per_ride
Up to 3.2 km,95,170,60,120,43,85,69,170,60,120
3.3 km - 4.2 km,105,190,67,120,48,85,77,190,67,120
4.3 km - 5.2 km,115,190,74,120,53,85,85,190,74,120
5.3 km - 6.2 km,125,190,81,120,58,85,93,190,81,120
6.3 km - 7.2 km,134,210,87,150,61,105,100,210,87,150
7.3 km - 8.2 km,141,210,93,150,64,105,106,210,93,150
8.3 km - 9.2 km,147,210,93,150,64,105,112,210,93,150
9.3 km - 10.2 km,151,230,93,150,64,105,115,230,93,150
10.3 km - 11.2 km,155,230,93,150,64,105,118,230,93,150
11.3 km - 12.2 km,159,250,93,150,64,105,121,250,93,150
12.3 km - 13.2 km,163,250,93,150,64,105,124,250,93,150
13.3 km - 14.2 km,167,250,93,150,64,105,127,250,93,150
14.3 km - 15.2 km,172,250,93,150,,105,130,250,93,150
15.3 km - 16.2 km,176,260,93,150,64,105,133,260,93,150
16.3 km - 17.2 km,180,260,93,150,64,105,136,260,93,150
17.3 km - 18.2 km,184,260,93,150,64,105,139,260,93,
18.3 km - 19.2 km,188,260,93,150,64,105,142,260,93,150
19.3 km - 20.2 km,191,270,93,150,64,105,145,270,93,150
20.3 km - 21.2 km,194,270,93,150,64,105,148,270,93,150
21.3 km - 22.2 km,197,270,93,150,64,105,151,270,93,150
22.3 km - 23.2 km,200,270,93,150,64,105,154,270,93,150
23.3 km - 24.2 km,202,280,93,150,64,105,156,280,93,150
24.3 km - 25.2 km,204,280,93,150,64,105,157,280,93,150
25.3 km - 26.2 km,206,280,93,150,64,105,158,280,93,150
26.3 km - 27.2 km,207,280,93,150,64,105,159,280,93,150
27.3 km - 28.2 km,208,280,93,150,64,105,160,280,93,150
28.3 km - 29.2 km,209,280,93,150,64,105,161,280,93,150
29.3 km - 30.2 km,210,280,93,150,64,105,162,280,93,150
30.3 km - 31.2 km,211,280,93,150,64,105,163,280,93,150
31.3 km - 32.2 km,212,280,93,150,64,105,164,280,93,150
32.3 km - 33.2 km,213,280,93,150,64,105,165,280,93,150
33.3 km - 34.2 km,214,280,93,150,64,105,166,280,93,150
34.3 km - 35.2 km,215,280,93,150,64,105,167,280,93,150
35.3 km - 36.2 km,216,280,93,150,,105,168,280,93,150
36.3 km - 37.2 km,217,280,93,150,64,105,169,280,93,150
37.3 km - 38.2 km,218,280,93,150,,105,170,280,93,150
38.3 km - 39.2 km,219,280,93,150,64,105,171,280,93,150
39.3 km - 40.2 km,220,280,93,150,64,105,172,280,93,150
Over 40.2 km,221,280,93,150,64,105,173,280,93,150
